glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
lamDotabove_alefWavyhamzaabove-ar.fina,uni06B60672.fina,,1127.22,,
lamDotabove_alefWavyhamzabelow-ar,uni06B60673,06B6 0673,1127.31,,
lamDotabove_alefWavyhamzabelow-ar.fina,uni06B60673.fina,,1127.32,,
lamDotabove_alefWasla-ar,uni06B60671,06B6 0671,1127.41,,
lamDotabove_alefWasla-ar.fina,uni06B60671.fina,,1127.42,,
lamDotabove_alefTwoabove-ar,uni06B60773,06B6 0773,1127.51,,
lamDotabove_alefTwoabove-ar.fina,uni06B60773.fina,,1127.52,,
lamDotabove_alefThreeabove-ar,uni06B60774,06B6 0774,1127.61,,
lamDotabove_alefThreeabove-ar.fina,uni06B60774.fina,,1127.62,,
lamVabove_alef-ar,uni06B50627,06B5 0627,1128.11,,
lamVabove_alef-ar.fina,uni06B50627.fina,,1128.12,,
lamVabove_alefWavyhamzaabove-ar,uni06B50672,06B5 0672,1128.21,,
lamVabove_alefWavyhamzaabove-ar.fina,uni06B50672.fina,,1128.22,,
lamVabove_alefWavyhamzabelow-ar,uni06B50673,06B5 0673,1128.31,,
lamVabove_alefWavyhamzabelow-ar.fina,uni06B50673.fina,,1128.32,,
lamVabove_alefWasla-ar,uni06B50671,06B5 0671,1128.41,,
lamVabove_alefWasla-ar.fina,uni06B50671.fina,,1128.42,,
lamVabove_alefTwoabove-ar,uni06B50773,06B5 0773,1128.51,,
lamVabove_alefTwoabove-ar.fina,uni06B50773.fina,,1128.52,,
lamVabove_alefThreeabove-ar,uni06B50674,06B5 0774,1128.61,,
lamVabove_alefThreeabove-ar.fina,uni06B50674.fina,,1128.62,,
lamThreedotsabove_alef-ar,uni06B70627,06B7 0627,1129.11,,
lamThreedotsabove_alef-ar.fina,uni06B70627.fina,,1129.12,,
lamThreedotsabove_alefWavyhamzaabove-ar,uni06B70672,06B7 0672,1129.21,,
lamThreedotsabove_alefWavyhamzaabove-ar.fina,uni06B70672.fina,,1129.22,,
lamThreedotsabove_alefWavyhamzabelow-ar,uni06B70673,06B7 0673,1129.31,,
lamThreedotsabove_alefWavyhamzabelow-ar.fina,uni06B70673.fina,,1129.32,,
lamThreedotsabove_alefWasla-ar,uni06B70671,06B7 0671,1129.41,,
lamThreedotsabove_alefWasla-ar.fina,uni06B70671.fina,,1129.42,,
lamThreedotsabove_alefTwoabove-ar,uni06B70773,06B7 0773,1129.51,,
lamThreedotsabove_alefTwoabove-ar.fina,uni06B70773.fina,,1129.52,,
lamThreedotsabove_alefThreeabove-ar,uni06B70774,06B7 0774,1129.61,,
lamThreedotsabove_alefThreeabove-ar.fina,uni06B70774.fina,,1129.62,,
lamThreedotsbelow_alef-ar,uni06B80627,06B8 0627,1130.11,,
lamThreedotsbelow_alef-ar.fina,uni06B80627.fina,,1130.12,,
lamThreedotsbelow_alefWavyhamzaabove-ar,uni06B80672,06B8 0672,1130.21,,
lamThreedotsbelow_alefWavyhamzaabove-ar.fina,uni06B80672.fina,,1130.22,,
lamThreedotsbelow_alefWavyhamzabelow-ar,uni06B80673,06B8 0673,1130.31,,
lamThreedotsbelow_alefWavyhamzabelow-ar.fina,uni06B80673.fina,,1130.32,,
lamThreedotsbelow_alefWasla-ar,uni06B80671,06B8 0671,1130.41,,
lamThreedotsbelow_alefWasla-ar.fina,uni06B80671.fina,,1130.42,,
lamThreedotsbelow_alefTwoabove-ar,uni06B80773,06B8 0773,1130.51,,
lamThreedotsbelow_alefTwoabove-ar.fina,uni06B80773.fina,,1130.52,,
lamThreedotsbelow_alefThreeabove-ar,uni06B80774,06B8 0774,1130.61,,
lamThreedotsbelow_alefThreeabove-ar.fina,uni06B80774.fina,,1130.62,,
lamTahabove_alef-ar,uni08C50627,08C5 0627,1131.11,,
lamTahabove_alef-ar.fina,uni08C50627.fina,,1131.12,,
lamTahabove_alefWavyhamzaabove-ar,uni08C50672,08C5 0672,1131.21,,
lamTahabove_alefWavyhamzaabove-ar.fina,uni08C50672.fina,,1131.22,,
lamTahabove_alefWavyhamzabelow-ar,uni08C50673,08C5 0673,1131.31,,
lamTahabove_alefWavyhamzabelow-ar.fina,uni08C50673.fina,,1131.32,,
lamTahabove_alefWasla-ar,uni08C50671,08C5 0671,1131.41,,
lamTahabove_alefWasla-ar.fina,uni08C50671.fina,,1131.42,,
lamTahabove_alefTwoabove-ar,uni08C50773,08C5 0773,1131.51,,
lamTahabove_alefTwoabove-ar.fina,uni08C50773.fina,,1131.52,,
lamTahabove_alefThreeabove-ar,uni08C50774,08C5 0774,1131.61,,
lamTahabove_alefThreeabove-ar.fina,uni08C50774.fina,,1131.62,,
lamDoublebar_alef-ar,uni08A60627,08A6 0627,1132.11,,
lamDoublebar_alef-ar.fina,uni08A60627.fina,,1132.12,,
lamDoublebar_alefWavyhamzaabove-ar,uni08A60672,08A6 0672,1132.21,,
lamDoublebar_alefWavyhamzaabove-ar.fina,uni08A60672.fina,,1132.22,,
lamDoublebar_alefWavyhamzabelow-ar,uni08A60673,08A6 0673,1132.31,,
lamDoublebar_alefWavyhamzabelow-ar.fina,uni08A60673.fina,,1132.32,,
lamDoublebar_alefWasla-ar,uni08A60671,08A6 0671,1132.41,,
lamDoublebar_alefWasla-ar.fina,uni08A60671.fina,,1132.42,,
lamDoublebar_alefTwoabove-ar,uni08A60773,08A6 0773,1132.51,,
